timestamp,ip,username,event_type,severity,message
2026-04-01 12:02:00,10.0.0.22,intern,FAIL,Medium,Invalid user intern from 10.0.0.22
2026-04-01 12:06:00,192.168.1.20,helpdesk,FAIL,High,authentication failed for helpdesk from 192.168.1.20
2026-04-01 12:07:00,10.0.0.15,admin,FAIL,High,authentication failed for admin from 10.0.0.15
2026-04-01 12:10:00,192.168.1.20,root,FAIL,High,Failed password for invalid user root from 192.168.1.20 port 22 ssh2
2026-04-01 12:11:00,172.16.0.8,admin,FAIL,High,Invalid user admin from 172.16.0.8
2026-04-01 12:15:00,192.168.1.20,svc_web,ALERT,High,attack signature matched for svc_web from 192.168.1.20
2026-04-01 12:19:00,185.77.44.10,admin,FAIL,High,Invalid user admin from 185.77.44.10
2026-04-01 12:21:00,172.16.0.8,sajjid,FAIL,High,Access denied for sajjid from 172.16.0.8
2026-04-01 12:23:00,103.55.12.91,helpdesk,ALERT,High,warning: exploit attempt detected from 103.55.12.91 against helpdesk
2026-04-01 12:27:00,172.16.0.8,intern,SUCCESS,Low,User intern successfully logged in from 172.16.0.8
2026-04-01 12:32:00,10.0.0.22,helpdesk,ALERT,High,warning: exploit attempt detected from 10.0.0.22 against helpdesk
2026-04-01 12:36:00,192.168.1.20,dbadmin,FAIL,High,Access denied for dbadmin from 192.168.1.20
2026-04-01 12:40:00,10.0.0.15,helpdesk,SUCCESS,Low,Accepted password for helpdesk from 10.0.0.15 port 22 ssh2
2026-04-01 12:43:00,10.0.0.15,intern,FAIL,High,Access denied for intern from 10.0.0.15
2026-04-01 12:44:00,192.168.1.20,svc_web,FAIL,High,authentication failed for svc_web from 192.168.1.20
2026-04-01 12:46:00,10.0.0.22,intern,FAIL,High,Access denied for intern from 10.0.0.22
2026-04-01 12:50:00,192.168.1.20,svc_web,FAIL,Medium,Invalid user svc_web from 192.168.1.20
2026-04-01 12:55:00,185.77.44.10,svc_web,ALERT,High,attack signature matched for svc_web from 185.77.44.10
2026-04-01 12:56:00,192.168.1.21,svc_web,ALERT,High,attack signature matched for svc_web from 192.168.1.21
2026-04-01 13:01:00,192.168.1.20,helpdesk,ALERT,High,warning: exploit attempt detected from 192.168.1.20 against helpdesk
2026-04-01 13:04:00,185.77.44.10,svc_web,FAIL,Low,login failed for svc_web from 185.77.44.10
2026-04-01 13:08:00,10.0.0.22,root,SUCCESS,High,Accepted password for root from 10.0.0.22 port 22 ssh2
2026-04-01 13:12:00,192.168.1.20,admin,SUCCESS,High,User admin successfully logged in from 192.168.1.20
2026-04-01 13:14:00,45.13.201.7,sajjid,ALERT,High,error: blocked malware payload from 45.13.201.7
2026-04-01 13:18:00,172.16.0.8,intern,FAIL,Low,login failed for intern from 172.16.0.8
2026-04-01 13:22:00,10.0.0.22,dbadmin,FAIL,High,Failed password for invalid user dbadmin from 10.0.0.22 port 22 ssh2
2026-04-01 13:26:00,185.77.44.10,intern,FAIL,High,authentication failed for intern from 185.77.44.10
2026-04-01 13:27:00,185.77.44.10,sajjid,ALERT,High,warning: exploit attempt detected from 185.77.44.10 against sajjid
2026-04-01 13:29:00,45.13.201.7,backup,ALERT,High,warning: exploit attempt detected from 45.13.201.7 against backup
2026-04-01 13:33:00,172.16.0.8,backup,SUCCESS,Low,User backup successfully logged in from 172.16.0.8
2026-04-01 13:36:00,45.13.201.7,admin,ALERT,High,warning: exploit attempt detected from 45.13.201.7 against admin
2026-04-01 13:39:00,185.77.44.10,dbadmin,FAIL,High,Access denied for dbadmin from 185.77.44.10
2026-04-01 13:43:00,192.168.1.20,admin,FAIL,High,Access denied for admin from 192.168.1.20
2026-04-01 13:45:00,192.168.1.21,admin,FAIL,High,Access denied for admin from 192.168.1.21
2026-04-01 13:46:00,10.0.0.22,intern,FAIL,Medium,Failed password for invalid user intern from 10.0.0.22 port 22 ssh2
2026-04-01 13:51:00,192.168.1.20,svc_web,SUCCESS,Low,User svc_web successfully logged in from 192.168.1.20
2026-04-01 13:52:00,10.0.0.15,helpdesk,FAIL,High,authentication failed for helpdesk from 10.0.0.15
2026-04-01 13:56:00,192.168.1.21,helpdesk,FAIL,Medium,Invalid user helpdesk from 192.168.1.21
2026-04-01 14:00:00,192.168.1.21,intern,ALERT,High,warning: exploit attempt detected from 192.168.1.21 against intern
2026-04-01 14:01:00,172.16.0.8,backup,FAIL,Medium,Invalid user backup from 172.16.0.8
2026-04-01 14:06:00,10.0.0.22,intern,SUCCESS,Low,Accepted password for intern from 10.0.0.22 port 22 ssh2
2026-04-01 14:10:00,45.13.201.7,helpdesk,ALERT,High,warning: exploit attempt detected from 45.13.201.7 against helpdesk
2026-04-01 14:13:00,10.0.0.15,dbadmin,ALERT,High,admin privilege escalation denied for dbadmin from 10.0.0.15
2026-04-01 14:16:00,172.16.0.8,backup,SUCCESS,Low,Accepted password for backup from 172.16.0.8 port 22 ssh2
2026-04-01 14:18:00,10.0.0.22,backup,SUCCESS,Low,User backup successfully logged in from 10.0.0.22
2026-04-01 14:22:00,185.77.44.10,admin,FAIL,High,login failed for admin from 185.77.44.10
2026-04-01 14:24:00,192.168.1.20,dbadmin,FAIL,High,Access denied for dbadmin from 192.168.1.20
2026-04-01 14:27:00,10.0.0.15,svc_web,FAIL,High,Access denied for svc_web from 10.0.0.15
2026-04-01 14:30:00,172.16.0.8,dbadmin,FAIL,High,login failed for dbadmin from 172.16.0.8
2026-04-01 14:33:00,192.168.1.20,intern,FAIL,Medium,Failed password for invalid user intern from 192.168.1.20 port 22 ssh2
2026-04-01 14:38:00,45.13.201.7,backup,ALERT,High,warning: exploit attempt detected from 45.13.201.7 against backup
2026-04-01 14:42:00,192.168.1.21,admin,FAIL,High,authentication failed for admin from 192.168.1.21
2026-04-01 14:45:00,45.13.201.7,dbadmin,FAIL,High,Failed password for invalid user dbadmin from 45.13.201.7 port 22 ssh2
2026-04-01 14:50:00,185.77.44.10,sajjid,FAIL,High,Access denied for sajjid from 185.77.44.10
2026-04-01 14:53:00,192.168.1.21,helpdesk,SUCCESS,Low,Accepted password for helpdesk from 192.168.1.21 port 22 ssh2
2026-04-01 14:54:00,10.0.0.22,helpdesk,SUCCESS,Low,User helpdesk successfully logged in from 10.0.0.22
2026-04-01 14:57:00,185.77.44.10,dbadmin,FAIL,High,Invalid user dbadmin from 185.77.44.10
2026-04-01 14:58:00,10.0.0.22,helpdesk,ALERT,High,unauthorized access attempt from 10.0.0.22 targeting account helpdesk
2026-04-01 15:03:00,192.168.1.20,root,SUCCESS,High,login successful for root from 192.168.1.20
2026-04-01 15:08:00,103.55.12.91,backup,ALERT,High,unauthorized access attempt from 103.55.12.91 targeting account backup
2026-04-01 15:13:00,192.168.1.20,svc_web,ALERT,High,attack signature matched for svc_web from 192.168.1.20
2026-04-01 15:17:00,10.0.0.22,dbadmin,FAIL,High,Access denied for dbadmin from 10.0.0.22
2026-04-01 15:22:00,103.55.12.91,backup,FAIL,High,authentication failed for backup from 103.55.12.91
2026-04-01 15:25:00,192.168.1.21,backup,SUCCESS,Low,login successful for backup from 192.168.1.21
2026-04-01 15:30:00,185.77.44.10,svc_web,FAIL,Medium,Invalid user svc_web from 185.77.44.10
2026-04-01 15:35:00,185.77.44.10,backup,FAIL,Low,login failed for backup from 185.77.44.10
2026-04-01 15:38:00,10.0.0.22,admin,SUCCESS,High,login successful for admin from 10.0.0.22
2026-04-01 15:41:00,192.168.1.20,svc_web,ALERT,High,unauthorized access attempt from 192.168.1.20 targeting account svc_web
2026-04-01 15:46:00,45.13.201.7,dbadmin,FAIL,High,authentication failed for dbadmin from 45.13.201.7
2026-04-01 15:47:00,192.168.1.21,dbadmin,FAIL,High,Invalid user dbadmin from 192.168.1.21
2026-04-01 15:48:00,192.168.1.21,svc_web,FAIL,Low,login failed for svc_web from 192.168.1.21
2026-04-01 15:53:00,10.0.0.22,admin,SUCCESS,High,Accepted password for admin from 10.0.0.22 port 22 ssh2
2026-04-01 15:57:00,172.16.0.8,dbadmin,SUCCESS,High,Accepted password for dbadmin from 172.16.0.8 port 22 ssh2
2026-04-01 15:58:00,185.77.44.10,dbadmin,FAIL,High,Access denied for dbadmin from 185.77.44.10
2026-04-01 15:59:00,45.13.201.7,helpdesk,ALERT,High,admin privilege escalation denied for helpdesk from 45.13.201.7
2026-04-01 16:03:00,45.13.201.7,svc_web,ALERT,High,attack signature matched for svc_web from 45.13.201.7
2026-04-01 16:04:00,10.0.0.22,intern,FAIL,Low,login failed for intern from 10.0.0.22
2026-04-01 16:05:00,10.0.0.15,svc_web,ALERT,High,attack signature matched for svc_web from 10.0.0.15
2026-04-01 16:08:00,10.0.0.22,sajjid,SUCCESS,Low,User sajjid successfully logged in from 10.0.0.22
2026-04-01 16:09:00,10.0.0.15,admin,FAIL,High,Invalid user admin from 10.0.0.15
2026-04-01 16:14:00,185.77.44.10,helpdesk,ALERT,High,attack signature matched for helpdesk from 185.77.44.10
2026-04-01 16:15:00,10.0.0.15,helpdesk,FAIL,Medium,Invalid user helpdesk from 10.0.0.15
2026-04-01 16:16:00,45.13.201.7,dbadmin,FAIL,High,Invalid user dbadmin from 45.13.201.7
2026-04-01 16:20:00,192.168.1.20,root,FAIL,High,login failed for root from 192.168.1.20
2026-04-01 16:25:00,10.0.0.22,admin,FAIL,High,authentication failed for admin from 10.0.0.22
2026-04-01 16:26:00,103.55.12.91,root,FAIL,High,Invalid user root from 103.55.12.91
2026-04-01 16:29:00,10.0.0.15,svc_web,SUCCESS,Low,User svc_web successfully logged in from 10.0.0.15
2026-04-01 16:33:00,45.13.201.7,svc_web,FAIL,High,authentication failed for svc_web from 45.13.201.7
2026-04-01 16:38:00,192.168.1.21,admin,SUCCESS,High,session opened for user admin from 192.168.1.21
2026-04-01 16:42:00,192.168.1.21,sajjid,FAIL,Low,login failed for sajjid from 192.168.1.21
2026-04-01 16:45:00,172.16.0.8,root,ALERT,High,attack signature matched for root from 172.16.0.8
2026-04-01 16:50:00,10.0.0.15,svc_web,SUCCESS,Low,User svc_web successfully logged in from 10.0.0.15
2026-04-01 16:53:00,192.168.1.20,svc_web,ALERT,High,warning: exploit attempt detected from 192.168.1.20 against svc_web
2026-04-01 16:57:00,172.16.0.8,svc_web,FAIL,Medium,Invalid user svc_web from 172.16.0.8
2026-04-01 16:59:00,192.168.1.20,root,SUCCESS,High,session opened for user root from 192.168.1.20
2026-04-01 17:00:00,172.16.0.8,admin,ALERT,High,admin privilege escalation denied for admin from 172.16.0.8
2026-04-01 17:04:00,45.13.201.7,svc_web,FAIL,High,authentication failed for svc_web from 45.13.201.7
2026-04-01 17:05:00,192.168.1.21,intern,FAIL,High,Access denied for intern from 192.168.1.21
2026-04-01 17:09:00,10.0.0.15,svc_web,SUCCESS,Low,session opened for user svc_web from 10.0.0.15
2026-04-01 17:13:00,185.77.44.10,admin,ALERT,High,warning: exploit attempt detected from 185.77.44.10 against admin
2026-04-01 17:16:00,103.55.12.91,svc_web,ALERT,High,unauthorized access attempt from 103.55.12.91 targeting account svc_web
2026-04-01 17:17:00,192.168.1.21,sajjid,FAIL,Medium,Failed password for invalid user sajjid from 192.168.1.21 port 22 ssh2
2026-04-01 17:20:00,192.168.1.21,intern,ALERT,High,error: blocked malware payload from 192.168.1.21
2026-04-01 17:24:00,10.0.0.22,root,FAIL,High,authentication failed for root from 10.0.0.22
2026-04-01 17:26:00,10.0.0.22,backup,FAIL,Medium,Invalid user backup from 10.0.0.22
2026-04-01 17:31:00,172.16.0.8,dbadmin,FAIL,High,Invalid user dbadmin from 172.16.0.8
2026-04-01 17:34:00,10.0.0.22,dbadmin,SUCCESS,High,login successful for dbadmin from 10.0.0.22
2026-04-01 17:35:00,10.0.0.15,dbadmin,FAIL,High,Invalid user dbadmin from 10.0.0.15
2026-04-01 17:38:00,192.168.1.21,backup,FAIL,Medium,Invalid user backup from 192.168.1.21
2026-04-01 17:42:00,10.0.0.22,intern,FAIL,High,Access denied for intern from 10.0.0.22
2026-04-01 17:45:00,192.168.1.21,sajjid,ALERT,High,attack signature matched for sajjid from 192.168.1.21
2026-04-01 17:48:00,185.77.44.10,helpdesk,FAIL,Low,login failed for helpdesk from 185.77.44.10
2026-04-01 17:50:00,10.0.0.15,backup,SUCCESS,Low,login successful for backup from 10.0.0.15
2026-04-01 17:55:00,45.13.201.7,admin,FAIL,High,Failed password for invalid user admin from 45.13.201.7 port 22 ssh2
2026-04-01 17:58:00,185.77.44.10,intern,ALERT,High,warning: exploit attempt detected from 185.77.44.10 against intern
2026-04-01 17:59:00,10.0.0.15,svc_web,ALERT,High,warning: exploit attempt detected from 10.0.0.15 against svc_web
2026-04-01 18:01:00,10.0.0.15,dbadmin,FAIL,High,authentication failed for dbadmin from 10.0.0.15
2026-04-01 18:04:00,172.16.0.8,dbadmin,ALERT,High,error: blocked malware payload from 172.16.0.8
2026-04-01 18:05:00,103.55.12.91,root,FAIL,High,authentication failed for root from 103.55.12.91
2026-04-01 18:09:00,10.0.0.15,admin,ALERT,High,attack signature matched for admin from 10.0.0.15
2026-04-01 18:10:00,103.55.12.91,helpdesk,FAIL,Low,login failed for helpdesk from 103.55.12.91
2026-04-01 18:13:00,10.0.0.15,admin,SUCCESS,High,login successful for admin from 10.0.0.15
2026-04-01 18:17:00,10.0.0.15,backup,FAIL,Medium,Failed password for invalid user backup from 10.0.0.15 port 22 ssh2
2026-04-01 18:21:00,192.168.1.21,svc_web,ALERT,High,unauthorized access attempt from 192.168.1.21 targeting account svc_web
2026-04-01 18:23:00,185.77.44.10,dbadmin,FAIL,High,Invalid user dbadmin from 185.77.44.10
2026-04-01 18:24:00,45.13.201.7,svc_web,FAIL,Medium,Invalid user svc_web from 45.13.201.7
2026-04-01 18:27:00,172.16.0.8,svc_web,SUCCESS,Low,login successful for svc_web from 172.16.0.8
2026-04-01 18:31:00,10.0.0.22,svc_web,SUCCESS,Low,session opened for user svc_web from 10.0.0.22
2026-04-01 18:32:00,192.168.1.21,helpdesk,SUCCESS,Low,User helpdesk successfully logged in from 192.168.1.21
2026-04-01 18:34:00,103.55.12.91,intern,ALERT,High,admin privilege escalation denied for intern from 103.55.12.91
2026-04-01 18:37:00,192.168.1.21,backup,FAIL,Medium,Failed password for invalid user backup from 192.168.1.21 port 22 ssh2
2026-04-01 18:41:00,192.168.1.20,sajjid,FAIL,Medium,Failed password for invalid user sajjid from 192.168.1.20 port 22 ssh2
2026-04-01 18:44:00,45.13.201.7,backup,FAIL,Medium,Failed password for invalid user backup from 45.13.201.7 port 22 ssh2
2026-04-01 18:49:00,192.168.1.20,backup,FAIL,Low,login failed for backup from 192.168.1.20
2026-04-01 18:51:00,185.77.44.10,dbadmin,ALERT,High,warning: exploit attempt detected from 185.77.44.10 against dbadmin
2026-04-01 18:53:00,192.168.1.21,admin,SUCCESS,High,Accepted password for admin from 192.168.1.21 port 22 ssh2
2026-04-01 18:55:00,192.168.1.20,intern,FAIL,Medium,Failed password for invalid user intern from 192.168.1.20 port 22 ssh2
2026-04-01 18:57:00,45.13.201.7,svc_web,FAIL,High,Access denied for svc_web from 45.13.201.7
2026-04-01 18:58:00,172.16.0.8,helpdesk,ALERT,High,error: blocked malware payload from 172.16.0.8
2026-04-01 19:03:00,10.0.0.22,backup,SUCCESS,Low,Accepted password for backup from 10.0.0.22 port 22 ssh2
2026-04-01 19:08:00,185.77.44.10,sajjid,FAIL,Medium,Invalid user sajjid from 185.77.44.10
2026-04-01 19:12:00,103.55.12.91,helpdesk,FAIL,Medium,Invalid user helpdesk from 103.55.12.91
2026-04-01 19:13:00,10.0.0.15,root,ALERT,High,unauthorized access attempt from 10.0.0.15 targeting account root
2026-04-01 19:15:00,10.0.0.15,svc_web,FAIL,High,Access denied for svc_web from 10.0.0.15
2026-04-01 19:20:00,10.0.0.22,admin,FAIL,High,Failed password for invalid user admin from 10.0.0.22 port 22 ssh2
2026-04-01 19:25:00,192.168.1.21,svc_web,SUCCESS,Low,User svc_web successfully logged in from 192.168.1.21
2026-04-01 19:27:00,172.16.0.8,svc_web,FAIL,Medium,Invalid user svc_web from 172.16.0.8
2026-04-01 19:28:00,10.0.0.15,dbadmin,FAIL,High,login failed for dbadmin from 10.0.0.15
2026-04-01 19:30:00,10.0.0.22,admin,SUCCESS,High,Accepted password for admin from 10.0.0.22 port 22 ssh2
2026-04-01 19:31:00,103.55.12.91,intern,FAIL,High,authentication failed for intern from 103.55.12.91
2026-04-01 19:36:00,10.0.0.15,admin,FAIL,High,Invalid user admin from 10.0.0.15
2026-04-01 19:39:00,10.0.0.22,sajjid,ALERT,High,error: blocked malware payload from 10.0.0.22
2026-04-01 19:44:00,103.55.12.91,backup,FAIL,High,authentication failed for backup from 103.55.12.91
2026-04-01 19:48:00,103.55.12.91,intern,FAIL,High,Access denied for intern from 103.55.12.91
2026-04-01 19:51:00,192.168.1.21,backup,FAIL,Medium,Invalid user backup from 192.168.1.21
2026-04-01 19:56:00,185.77.44.10,dbadmin,ALERT,High,unauthorized access attempt from 185.77.44.10 targeting account dbadmin
2026-04-01 19:58:00,192.168.1.21,intern,FAIL,Low,login failed for intern from 192.168.1.21
